config_name,trial,time,h_dim,neighbor_quantile,k_neighbors,min_persistence
H0_q5_rmean_k1_p0.001,40,1.9206164579999978,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,41,1.8833837920000036,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,42,2.0215560420000003,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,43,1.9253810420000121,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,44,1.9252160420000024,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,45,1.9229442500000005,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,46,1.9462037919999915,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,47,1.9390843329999967,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,48,1.907606125000001,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,49,2.0447544999999963,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,50,1.8740277499999962,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,51,1.8702459169999912,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,52,1.8895777499999866,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,53,2.0828539169999942,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,54,1.928813875000003,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,55,1.9056822089999912,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,56,1.9049046660000073,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,57,1.997611125000006,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,58,2.124656916999996,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,59,1.8741580829999975,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,60,1.9667736250000019,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,61,2.174475000000001,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,62,1.867693041999999,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,63,2.176522042000002,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,64,2.265824749999979,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,65,1.9465312909999852,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,66,1.917064124999996,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,67,1.9152289170000074,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,68,1.9369982079999772,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,69,2.4936415829999987,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,70,1.8860547499999996,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,71,2.4438977080000086,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,72,1.930393458999987,0,0.05,1,0.001
H0_q5_rmean_k1_p0.001,73,1.929473416999997,0,0.05,1,0.001
